TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS
1610612740,New Orleans Pelicans,18,11,7,0.611,879.0,793,1621,0.489,209,543,0.385,322,418,0.77,206,601,807,495,261.0,153,77,95,355,353,2117,126.0,9,5,5,5,11,5,12,4,20,27,4,16,17,23,12,17,11,6,13,2,24,19,8,21,5,2,10,New Orleans Pelicans
1610612752,New York Knicks,18,9,9,0.5,874.0,744,1652,0.45,196,621,0.316,356,446,0.798,223,608,831,423,256.0,134,88,95,390,393,2040,-39.0,9,16,17,17,12,16,9,24,26,12,29,3,4,11,7,15,6,22,10,14,18,19,22,8,16,24,10,New York Knicks
1610612760,Oklahoma City Thunder,18,7,11,0.389,884.0,799,1707,0.468,216,619,0.349,290,376,0.771,208,586,794,454,245.0,143,115,107,407,350,2104,-25.0,9,24,23,24,10,3,5,14,18,13,17,27,27,22,9,20,14,13,7,8,2,25,25,25,7,23,10,Oklahoma City Thunder
1610612753,Orlando Magic,18,5,13,0.278,869.0,716,1522,0.47,192,560,0.343,347,439,0.79,188,625,813,381,298.0,106,100,83,393,373,1971,-72.0,9,26,26,27,17,23,23,12,28,25,21,6,7,13,16,7,9,28,24,29,8,12,23,14,21,26,10,Orlando Magic
1610612755,Philadelphia 76ers,18,9,9,0.5,864.0,697,1492,0.467,219,587,0.373,341,425,0.802,143,577,720,414,254.0,152,89,90,359,351,1954,36.0,9,16,17,17,22,24,27,16,13,20,9,10,12,8,27,21,28,25,9,3,15,17,9,23,25,9,10,Philadelphia 76ers
1610612756,Phoenix Suns,17,11,6,0.647,821.0,727,1541,0.472,221,575,0.384,281,341,0.824,196,536,732,471,231.0,128,99,72,371,345,1956,124.0,24,5,3,4,26,21,20,11,12,22,5,29,30,5,13,29,26,12,2,19,12,4,18,29,24,3,10,Phoenix Suns
1610612757,Portland Trail Blazers,18,10,8,0.556,869.0,697,1496,0.466,216,568,0.38,355,457,0.777,188,577,765,423,288.0,128,74,85,346,397,1965,-1.0,9,10,10,12,17,24,25,17,18,23,6,4,2,19,16,21,23,22,23,19,27,14,3,6,23,18,10,Portland Trail Blazers
1610612758,Sacramento Kings,17,10,7,0.588,821.0,733,1479,0.496,240,644,0.373,334,425,0.786,133,564,697,478,253.0,122,50,74,359,367,2040,54.0,24,10,5,9,26,19,28,1,5,9,10,14,12,15,30,25,29,11,8,25,30,5,9,16,16,6,10,Sacramento Kings
1610612759,San Antonio Spurs,19,6,13,0.316,917.0,795,1714,0.464,228,648,0.352,273,380,0.718,216,576,792,541,324.0,138,84,82,361,356,2091,-203.0,3,25,26,25,5,4,4,19,7,8,16,30,26,28,8,23,17,3,30,12,20,10,13,20,8,30,10,San Antonio Spurs
1610612761,Toronto Raptors,18,9,9,0.5,869.0,734,1648,0.445,198,599,0.331,345,441,0.782,246,549,795,416,233.0,189,105,102,372,377,2011,29.0,9,16,17,17,17,18,10,26,25,19,26,7,6,17,1,28,13,24,3,1,6,23,20,12,19,11,10,Toronto Raptors
1610612762,Utah Jazz,20,12,8,0.6,970.0,855,1818,0.47,295,789,0.374,342,437,0.783,245,638,883,553,320.0,150,102,107,436,417,2347,46.0,1,2,10,8,1,1,1,13,2,2,8,8,8,16,3,3,1,2,28,4,7,25,28,4,1,8,10,Utah Jazz
1610612764,Washington Wizards,18,10,8,0.556,874.0,733,1568,0.467,200,578,0.346,285,369,0.772,167,647,814,447,258.0,109,111,77,353,346,1951,-22.0,9,10,10,12,12,19,14,15,23,21,18,28,28,21,22,2,8,16,11,27,4,7,6,28,26,21,10,Washington Wizards
